ID,1,2,3,4,5Average,Standard Deviation
1,338,341,344,336,342,340.20,2.85
2,361,359,360,354,361,359.00,2.60
3,383,377,379,372,378,377.80,3.54
4,392,393,397,395,392,393.80,1.93
5,531,525,538,530,531,531.00,4.14
6,550,557,561,550,564,556.40,5.67
7,634,640,648,650,640,642.40,5.85
8,704,708,696,705,714,705.40,5.85
9,747,713,726,746,748,736.00,14.09
10,999,991,1019,1017,1008,1006.80,10.62
11,1147,1117,1132,1093,1088,1115.40,22.49
12,1593,1568,1580,1583,1589,1582.60,8.59
13,1572,1572,1582,1553,1586,1573.00,11.41
14,1226,1274,1262,1233,1234,1245.80,18.72
15,1299,1304,1296,1315,1267,1296.20,15.96
16,1445,1426,1479,1466,1452,1453.60,18.09
17,1910,1903,1912,1893,1900,1903.60,6.88
18,2244,2262,2233,2232,2255,2245.20,11.85
19,2103,2112,2099,2111,2096,2104.20,6.36
20,2047,2022,2079,2070,2040,2051.60,20.59
21,2478,2471,2474,2470,2436,2465.80,15.15
22,2410,2405,2412,2398,2440,2413.00,14.33
23,2848,2905,2842,2875,2857,2865.40,22.72
24,3635,3631,3639,3629,3599,3626.60,14.22
25,3141,3163,3209,3180,3188,3176.20,22.99
26,9215,9286,9255,9273,9249,9255.60,24.16
27,3906,3944,3936,3931,3946,3932.60,14.36
28,4273,4288,4251,4222,4209,4248.60,29.76
29,4383,4406,4381,4418,4394,4396.40,14.00
30,3936,3887,3900,3874,3946,3908.60,27.88
31,7534,7546,7514,7518,7457,7513.80,30.62
32,3287,3282,3293,3294,3289,3289.00,4.33
33,7361,7326,7307,7319,7378,7338.20,26.81
34,5989,5974,5951,5998,6003,5983.00,18.79
35,5180,5164,5245,5206,5219,5202.80,28.56
36,5602,5589,5649,5578,5605,5604.60,24.20
37,6485,6480,6472,6477,6453,6473.40,11.03
38,10216,10233,10226,10199,10296,10234.00,33.03
39,6864,6804,6814,6818,6792,6818.40,24.50
40,7736,7751,7764,7714,7725,7738.00,17.85
41,6864,6834,6878,6857,6877,6862.00,16.08
42,7107,7132,7111,7147,7118,7123.00,14.71
43,12272,12345,12289,12286,12240,12286.40,34.06
44,15250,15267,15302,15274,15390,15296.60,49.62
45,11397,11385,11399,11387,11448,11403.20,23.05
46,7582,7741,7621,7599,7553,7619.20,64.82
47,11859,11917,11946,11916,11972,11922.00,37.69
48,10877,10872,10880,10836,10870,10867.00,15.89
49,14148,14108,14050,14097,14119,14104.40,32.06
50,12574,12635,12641,12621,12598,12613.80,24.79
51,14444,14416,14360,14404,14380,14400.80,28.99
52,15478,15479,15482,15501,15483,15484.60,8.40
53,10754,10792,10751,10745,10757,10759.80,16.58
54,14321,14284,14349,14285,14291,14306.00,25.39
55,14711,14754,14770,14714,14659,14721.60,38.68
56,16870,16868,16911,16875,16878,16880.40,15.70
57,15708,15707,15627,15669,15603,15662.80,42.17
58,26073,26456,25838,25915,25819,26020.20,235.56
59,14901,14922,14947,14950,14941,14932.20,18.38
60,17976,17879,17919,17940,18062,17955.20,61.94
61,17705,17726,17777,17719,17762,17737.80,27.16
62,15682,15703,15689,15729,15679,15696.40,18.28
63,14686,14677,14657,14690,14669,14675.80,11.88
64,17955,17973,17923,17974,17909,17946.80,26.41
65,49966,50908,50098,50158,49929,50211.80,358.03
66,72088,72079,74262,72253,72077,72551.80,857.68
67,24997,25234,25014,25108,25044,25079.40,86.06
68,23059,23057,23079,23095,23071,23072.20,13.94
69,55853,55620,55790,55652,55695,55722.00,86.96
70,24257,24086,24138,24126,24162,24153.80,57.16
71,51793,51869,51810,51702,51774,51789.60,54.12
72,43187,43223,43139,43467,43064,43216.00,136.32
73,63730,63645,63628,63631,63737,63674.20,48.80
74,28092,28136,28127,28123,28142,28124.00,17.33
75,75761,75774,75191,75447,75217,75478.00,252.64
76,27938,28301,27893,27906,27905,27988.60,156.91
77,37188,37317,37217,37234,37208,37232.80,44.63
78,21276,21266,21408,21274,21201,21285.00,67.45
79,52220,52213,52234,52173,52220,52212.00,20.65
80,47238,47098,47134,47209,47261,47188.00,62.10
81,55537,55584,55384,55519,55491,55503.00,66.75
82,32599,32569,32631,32606,32685,32618.00,38.89
83,70267,70207,70313,70189,70253,70245.80,44.15
84,50029,49996,49998,49996,49947,49993.20,26.28
85,29364,29239,29241,29253,29197,29258.80,55.90
86,22055,22090,22036,22045,22144,22074.00,39.50
87,38968,38962,38971,39093,38997,38998.20,48.88
88,55644,55830,55618,55758,55664,55702.80,79.22
89,90216,90224,90200,90459,90423,90304.40,112.37
90,71495,71635,71542,71624,71757,71610.60,89.75
91,40559,40554,40612,40517,40597,40567.80,33.62
92,41673,41810,41747,41751,41637,41723.60,61.35
93,36152,36294,36222,36184,36184,36207.20,48.73
94,62071,62102,62074,62077,62027,62070.20,24.24
95,44955,44941,44940,44888,44889,44922.60,28.34
96,71418,71509,71480,71428,71596,71486.20,64.26
97,62569,62481,62392,62473,62471,62477.20,56.13
98,66296,66270,66157,66127,66203,66210.60,64.40
99,42428,42388,42419,42460,42415,42422.00,23.21
100,43486,43406,43429,43467,43414,43440.40,30.97
101,74252,74299,74333,74303,74248,74287.00,32.44
102,61988,61966,61884,61957,61867,61932.40,47.84
103,81367,81422,81515,81502,81429,81447.00,54.76
104,48150,48054,48230,48050,48018,48100.40,78.40
105,38364,38404,38347,38364,38519,38399.60,62.57
106,83082,83249,83165,83149,83194,83167.80,54.77
107,-1,-1,-1,-1,-1,-1,-1
108,49724,49561,49617,49583,49618,49620.60,55.99
109,-1,-1,-1,-1,-1,-1,-1
110,31963,31970,32108,31924,31947,31982.40,64.75
111,71491,71549,71575,71469,71540,71524.80,38.96
112,102599,102607,102555,102513,102893,102633.40,134.10
113,49155,49149,49190,49183,49094,49154.20,33.94
114,-1,-1,-1,-1,-1,-1,-1
115,55430,55375,55381,55482,55493,55432.20,49.14
116,58041,57881,58016,57995,57963,57979.20,55.36
117,90227,90528,90387,90235,90567,90388.80,142.10
118,-1,-1,-1,-1,-1,-1,-1
119,65049,65152,65114,65060,65736,65222.20,259.58
120,51921,51951,52019,51970,51913,51954.80,38.09
121,89842,89707,89737,89809,89445,89708.00,140.11
122,80829,80707,80862,81530,80891,80963.80,289.95
123,80102,80032,80234,80093,80089,80110.00,66.71
124,-1,-1,-1,-1,-1,-1,-1
125,54407,54497,54476,54553,54755,54537.60,118.32
126,67279,67283,67319,67318,67267,67293.20,21.32
127,44308,44354,44349,44294,44247,44310.40,39.20
128,43721,43789,43794,43791,43761,43771.20,27.75
129,-1,-1,-1,-1,-1,-1,-1
130,101261,101295,101193,101212,101308,101253.80,45.01
131,-1,-1,-1,-1,-1,-1,-1
132,-1,-1,-1,-1,-1,-1,-1
133,-1,-1,-1,-1,-1,-1,-1
134,-1,-1,-1,-1,-1,-1,-1
135,-1,-1,-1,-1,-1,-1,-1
136,-1,-1,-1,-1,-1,-1,-1
137,-1,-1,-1,-1,-1,-1,-1
138,-1,-1,-1,-1,-1,-1,-1
139,-1,-1,-1,-1,-1,-1,-1
140,-1,-1,-1,-1,-1,-1,-1
141,-1,-1,-1,-1,-1,-1,-1
142,116622,116825,116341,116919,116678,116677.00,198.18
143,-1,-1,-1,-1,-1,-1,-1
144,-1,-1,-1,-1,-1,-1,-1
145,-1,-1,-1,-1,-1,-1,-1
146,-1,-1,-1,-1,-1,-1,-1
147,-1,-1,-1,-1,-1,-1,-1
148,-1,-1,-1,-1,-1,-1,-1
149,-1,-1,-1,-1,-1,-1,-1
150,-1,-1,-1,-1,-1,-1,-1
