ID,1,2,3,4,5Average,Standard Deviation
1,327,327,333,325,335,329.40,3.87
2,335,338,333,331,331,333.60,2.65
3,337,339,343,330,334,336.60,4.40
4,342,337,344,343,339,341.00,2.60
5,349,340,336,341,350,343.20,5.41
6,349,355,350,361,347,352.40,5.04
7,360,355,351,356,359,356.20,3.18
8,361,362,369,362,362,363.20,2.92
9,369,364,367,371,361,366.40,3.55
10,378,381,380,377,379,379.00,1.41
11,379,390,389,392,383,386.60,4.84
12,391,399,400,398,402,398.00,3.74
13,414,402,405,415,414,410.00,5.40
14,417,429,421,428,423,423.60,4.45
15,437,435,442,438,433,437.00,3.03
16,450,462,442,451,457,452.40,6.77
17,478,472,480,475,465,474.00,5.25
18,492,499,499,498,492,496.00,3.28
19,517,527,520,522,515,520.20,4.16
20,523,517,535,534,541,530.00,8.71
21,577,563,567,566,574,569.40,5.23
22,600,612,611,581,572,595.20,16.09
23,621,638,655,655,641,642.00,12.61
24,691,640,664,659,675,665.80,16.93
25,785,774,737,762,765,764.60,15.95
26,864,874,855,816,821,846.00,23.29
27,662,634,664,671,671,660.40,13.69
28,740,713,732,745,740,734.00,11.29
29,776,778,729,727,730,748.00,23.70
30,775,776,775,820,826,794.40,23.43
31,799,815,828,843,829,822.80,14.83
32,831,839,905,886,862,864.60,27.86
33,945,988,965,940,941,955.80,18.47
34,1018,1062,1014,1011,1012,1023.40,19.44
35,2026,2018,2025,2007,2000,2015.20,10.18
36,1166,1224,1210,1160,1177,1187.40,25.16
37,1957,1906,1964,1941,1950,1943.60,20.28
38,1210,1156,1158,1196,1187,1181.40,21.23
39,2693,2715,2718,2725,2788,2727.80,31.94
40,2664,2640,2745,2642,2676,2673.40,38.27
41,2552,2540,2507,2542,2552,2538.60,16.56
42,1487,1457,1427,1427,1417,1443.00,25.76
43,3873,3897,3849,3859,3872,3870.00,16.14
44,4147,4135,4139,4143,4210,4154.80,27.88
45,3893,3877,3862,3835,3916,3876.60,27.44
46,7834,7709,7696,7689,7690,7723.60,55.65
47,5690,5682,5706,5708,5664,5690.00,16.24
48,6645,6647,6640,6635,6595,6632.40,19.15
49,6234,6273,6227,6212,6212,6231.60,22.40
50,6337,6373,6390,6376,6346,6364.40,19.76
51,9163,9154,9186,9213,9170,9177.20,20.74
52,-1,-1,-1,-1,-1,-1,-1
