ID,1,2,3,4,5,Average,Standard Deviation
1,486,144,141,138,141,210.00,138.01
2,143,138,143,143,148,143.00,3.16
3,157,143,141,141,146,145.60,5.98
4,145,141,142,145,140,142.60,2.05
5,144,144,143,139,140,142.00,2.09
6,144,140,143,148,232,161.40,35.39
7,148,153,147,142,144,146.80,3.76
8,145,143,142,144,145,143.80,1.16
9,142,143,153,144,144,145.20,3.96
10,146,149,146,149,159,149.80,4.79
11,147,144,148,156,141,147.20,5.03
12,148,147,142,142,147,145.20,2.63
13,144,142,148,157,147,147.60,5.16
14,148,144,144,151,145,146.40,2.72
15,145,141,147,144,144,144.20,1.93
16,222,145,142,148,147,160.80,30.66
17,145,146,148,148,142,145.80,2.22
18,149,151,142,143,147,146.40,3.44
19,144,146,148,149,146,146.60,1.74
20,163,153,146,148,149,151.80,6.04
21,147,144,151,146,144,146.40,2.57
22,147,146,149,147,150,147.80,1.46
23,146,144,151,149,148,147.60,2.41
24,152,148,147,149,149,149.00,1.67
25,146,146,149,146,150,147.40,1.74
26,175,148,148,152,155,155.60,10.05
27,148,152,150,145,143,147.60,3.26
28,151,146,148,151,149,149.00,1.89
29,149,149,153,149,147,149.40,1.95
30,152,148,146,150,232,165.60,33.26
31,154,154,148,149,149,150.80,2.63
32,152,146,149,150,152,149.80,2.22
33,147,156,151,148,150,150.40,3.13
34,151,152,157,153,150,152.60,2.41
35,155,149,154,152,154,152.80,2.13
36,151,150,239,147,213,180.00,38.47
37,157,163,157,155,152,156.80,3.60
38,152,155,151,149,151,151.60,1.95
39,153,159,168,150,149,155.80,7.02
40,156,153,152,154,153,153.60,1.35
41,152,157,152,156,156,154.60,2.15
42,171,152,155,152,147,155.40,8.21
43,157,160,154,159,158,157.60,2.05
44,154,152,155,154,150,153.00,1.78
45,156,155,151,156,158,155.20,2.31
46,154,152,158,153,150,153.40,2.65
47,160,154,152,158,255,175.80,39.70
48,157,157,151,158,156,155.80,2.48
49,154,156,157,152,156,155.00,1.78
50,157,185,152,157,151,160.40,12.54
51,155,158,157,153,156,155.80,1.72
52,165,154,158,154,153,156.80,4.44
53,190,156,158,162,157,164.60,12.86
54,168,162,155,152,158,159.00,5.58
55,159,155,157,159,157,157.40,1.49
56,170,157,190,159,157,166.60,12.65
57,157,159,154,155,159,156.80,2.03
58,159,154,161,157,153,156.80,2.99
59,165,158,159,163,161,161.20,2.56
60,159,161,160,157,158,159.00,1.41
61,164,158,162,160,158,160.40,2.33
62,161,164,159,161,157,160.40,2.33
63,154,160,160,155,160,157.80,2.71
64,241,159,165,160,158,176.60,32.28
65,165,159,157,163,160,160.80,2.85
66,160,166,159,156,160,160.20,3.24
67,168,160,165,167,160,164.00,3.40
68,162,163,157,165,159,161.20,2.85
