ID,1,2,3,4,5,Average,Standard Deviation
1,267,243,270,265,270,263.00,10.17
2,274,252,264,272,266,265.60,7.73
3,274,275,270,266,274,271.80,3.37
4,275,268,264,267,274,269.60,4.22
5,275,268,269,275,263,270.00,4.56
6,271,273,278,269,269,272.00,3.34
7,275,272,274,270,271,272.40,1.85
8,276,269,273,268,271,271.40,2.87
9,271,273,273,278,270,273.00,2.75
10,282,277,272,274,274,275.80,3.48
11,273,282,280,282,282,279.80,3.48
12,277,271,279,276,281,276.80,3.37
13,282,283,277,282,282,281.20,2.13
14,275,282,282,283,277,279.80,3.18
15,281,281,284,283,280,281.80,1.46
16,277,279,281,278,281,279.20,1.60
17,284,282,286,284,283,283.80,1.32
18,282,281,277,283,280,280.60,2.05
19,282,291,286,290,281,286.00,4.04
20,289,287,285,286,278,285.00,3.74
21,285,287,290,281,283,285.20,3.12
22,283,292,287,288,287,287.40,2.87
23,291,290,297,300,292,294.00,3.84
24,290,290,287,287,290,288.80,1.46
25,291,289,292,289,292,290.60,1.35
26,292,288,293,286,311,294.00,8.87
27,299,285,292,295,292,292.60,4.58
28,296,294,290,296,296,294.40,2.33
29,296,299,304,321,305,305.00,8.64
30,294,296,293,301,302,297.20,3.65
31,299,296,303,303,301,300.40,2.65
32,304,299,298,304,292,299.40,4.45
33,301,300,296,298,298,298.60,1.74
34,308,302,296,307,305,303.60,4.31
35,308,310,301,305,305,305.80,3.05
36,302,303,304,302,302,302.60,.80
37,314,306,308,313,309,310.00,3.03
38,311,307,300,304,306,305.60,3.61
39,306,302,310,301,306,305.00,3.22
40,308,307,309,304,307,307.00,1.67
41,319,309,319,317,322,317.20,4.40
42,309,304,304,303,310,306.00,2.89
43,324,319,317,313,311,316.80,4.57
44,291,312,308,308,307,305.20,7.30
45,315,314,315,312,315,314.20,1.16
46,312,323,317,317,320,317.80,3.65
47,324,326,323,327,327,325.40,1.62
48,323,318,317,320,311,317.80,3.96
49,320,317,322,313,319,318.20,3.05
50,316,323,315,318,316,317.60,2.87
51,319,326,330,326,317,323.60,4.84
52,316,324,323,318,325,321.20,3.54
53,335,328,330,331,332,331.20,2.31
54,323,324,322,323,319,322.20,1.72
55,320,328,325,323,328,324.80,3.05
56,329,320,325,325,323,324.40,2.93
57,330,329,332,328,325,328.80,2.31
58,330,327,328,327,328,328.00,1.09
59,338,334,341,333,342,337.60,3.61
60,327,330,330,335,338,332.00,3.94
61,346,342,339,335,344,341.20,3.86
62,334,340,330,341,333,335.60,4.22
63,336,335,334,326,337,333.60,3.92
64,333,338,330,331,337,333.80,3.18
65,337,333,339,340,335,336.80,2.56
66,341,335,340,333,340,337.80,3.18
67,349,349,348,341,346,346.60,3.00
68,339,338,337,333,339,337.20,2.22
69,342,336,343,341,345,341.40,3.00
70,343,337,344,350,344,343.60,4.12
71,357,352,357,356,356,355.60,1.85
72,339,341,344,344,345,342.60,2.24
73,356,353,360,362,363,358.80,3.76
74,348,347,345,346,343,345.80,1.72
75,347,342,353,347,348,347.40,3.49
76,352,347,345,350,345,347.80,2.78
77,347,356,347,350,347,349.40,3.49
78,349,356,346,357,350,351.60,4.22
79,369,367,369,361,367,366.60,2.93
80,357,351,353,356,352,353.80,2.31
81,351,357,348,349,352,351.40,3.13
82,358,355,358,356,356,356.60,1.20
83,373,372,374,371,376,373.20,1.72
84,362,361,360,353,353,357.80,3.96
85,355,356,360,356,358,357.00,1.78
86,359,364,366,362,361,362.40,2.41
87,361,359,363,362,335,356.00,10.58
88,362,369,363,360,359,362.60,3.49
89,382,379,375,381,384,380.20,3.05
90,362,368,362,357,367,363.20,3.96
91,366,357,363,359,368,362.60,4.12
92,356,361,363,360,363,360.60,2.57
93,365,367,366,370,363,366.20,2.31
94,369,359,365,366,367,365.20,3.37
95,370,367,366,370,372,369.00,2.19
96,377,369,364,373,369,370.40,4.36
97,390,390,381,382,382,385.00,4.09
98,367,372,370,375,376,372.00,3.28
99,371,375,380,373,372,374.20,3.18
100,378,375,376,372,371,374.40,2.57
101,391,391,385,392,391,390.00,2.52
102,371,372,376,372,374,373.00,1.78
103,387,388,392,415,394,395.20,10.22
104,367,381,377,383,381,377.80,5.74
105,383,405,375,383,380,385.20,10.32
106,383,387,383,377,382,382.40,3.20
107,390,407,402,403,403,401.00,5.76
108,385,387,383,388,379,384.40,3.20
109,402,399,404,406,421,406.40,7.65
110,378,387,389,382,384,384.00,3.84
111,390,383,390,388,384,387.00,2.96
112,389,396,388,393,390,391.20,2.92
113,415,410,411,412,408,411.20,2.31
114,387,395,396,392,392,392.40,3.13
115,392,390,389,386,389,389.20,1.93
116,394,395,390,388,384,390.20,4.01
117,392,397,395,399,390,394.60,3.26
118,395,399,394,394,393,395.00,2.09
119,395,388,396,400,397,395.20,3.96
120,396,393,401,394,401,397.00,3.40
121,388,395,406,399,407,399.00,7.07
122,398,394,401,403,402,399.60,3.26
123,402,400,404,397,400,400.60,2.33
124,408,398,408,404,408,405.20,3.91
125,403,405,398,381,402,397.80,8.70
126,409,409,400,406,400,404.80,4.06
127,422,424,433,420,423,424.40,4.49
128,401,405,409,400,408,404.60,3.61
129,405,413,410,414,408,410.00,3.28
130,412,407,410,411,412,410.40,1.85
131,439,438,441,431,430,435.80,4.44
132,425,411,412,412,407,413.40,6.08
133,409,413,409,412,422,413.00,4.77
134,419,412,420,418,413,416.40,3.26
135,415,410,423,418,421,417.40,4.58
136,422,421,423,417,428,422.20,3.54
137,437,448,441,447,450,444.60,4.84
138,414,419,419,422,432,421.20,5.97
139,442,441,443,444,440,442.00,1.41
140,405,424,425,415,428,419.40,8.40
141,435,426,423,425,416,425.00,6.09
142,426,417,431,431,428,426.60,5.16
143,430,426,428,425,417,425.20,4.44
144,426,433,424,430,423,427.20,3.76
145,430,431,433,430,432,431.20,1.16
146,432,434,431,431,434,432.40,1.35
147,425,433,432,436,437,432.60,4.22
148,439,441,436,433,431,436.00,3.68
149,456,457,458,456,458,457.00,.89
150,437,402,434,430,438,428.20,13.39
151,464,463,460,466,455,461.60,3.82
152,443,437,440,428,451,439.80,7.52
153,436,440,444,440,441,440.20,2.56
154,442,438,440,410,434,432.80,11.70
155,444,443,443,442,444,443.20,.74
156,440,445,448,443,440,443.20,3.05
157,444,467,468,464,474,463.40,10.22
158,449,443,415,444,444,439.00,12.18
159,440,439,412,448,416,431.00,14.28
160,445,448,444,440,441,443.60,2.87
161,447,450,441,444,446,445.60,3.00
162,454,451,446,447,446,448.80,3.18
163,484,484,473,482,475,479.60,4.67
164,454,449,427,458,459,449.40,11.74
165,460,459,450,453,452,454.80,3.96
166,454,458,460,455,451,455.60,3.13
167,484,486,492,458,484,480.80,11.77
168,459,450,426,426,425,437.20,14.41
169,463,463,458,453,471,461.60,5.98
170,470,467,463,459,463,464.40,3.77
171,468,463,460,457,431,455.80,12.92
172,461,463,462,463,459,461.60,1.49
173,496,489,493,498,494,494.00,3.03
174,471,471,473,466,460,468.20,4.70
175,471,473,469,470,463,469.20,3.37
176,476,472,468,463,466,469.00,4.56
177,463,480,471,475,471,472.00,5.58
178,471,470,477,468,471,471.40,3.00
179,503,474,509,501,501,497.60,12.15
180,449,473,473,473,476,468.80,9.96
181,502,497,458,493,510,492.00,17.92
182,478,447,443,478,477,464.60,16.05
183,445,483,474,477,480,471.80,13.73
184,483,477,480,473,482,479.00,3.63
185,480,488,479,482,486,483.00,3.46
186,481,483,449,478,489,476.00,13.97
187,484,482,484,478,480,481.60,2.33
188,506,486,492,488,489,492.20,7.16
189,485,488,457,479,487,479.20,11.53
190,479,483,457,487,486,478.40,11.05
191,519,517,526,518,491,514.20,12.02
192,460,493,491,480,492,483.20,12.51
193,535,524,527,528,523,527.40,4.22
